Defect_ID,Severity_Level,Predicted_Resolution_Time_Hours,Overdue_Days,Asset_Age_Years,Historical_Failure_Count,Joint_Block_Feasibility_Score,Confidence_Score,Task_Urgency_Tier,Priority_Score,Severity_Level_Enc,Task_Urgency_Tier_Enc,Dept_SMMS,Dept_TDMS,Dept_TMS
TDMS00001,Medium,3.51,60,14.6,1,26.6,0.655,This_Month,51.9,2,2,0,1,0
TDMS00002,Medium,4.11,60,5.5,3,48.4,0.723,This_Month,50.5,2,2,0,1,0
TDMS00003,High,4.22,40,20.5,2,38.1,0.749,This_Week,62.3,3,3,0,1,0
TDMS00004,Medium,3.89,0,20.1,3,48.2,0.926,Programmed,27.6,2,1,0,1,0
TDMS00005,Medium,3.51,60,10.9,4,55.5,0.908,This_Month,48.2,2,2,0,1,0
TDMS00006,Medium,2.94,60,14.9,3,36.0,0.738,This_Month,53.1,2,2,0,1,0
TDMS00007,Medium,2.83,60,1.6,3,37.9,0.852,This_Month,58.5,2,2,0,1,0
TDMS00008,Medium,4.08,60,24.9,4,50.2,0.662,This_Month,50.6,2,2,0,1,0
TDMS00009,Medium,4.75,60,3.2,0,34.6,0.681,This_Month,42.9,2,2,0,1,0
TDMS00010,Medium,3.75,60,27.0,6,27.6,0.806,This_Month,57.3,2,2,0,1,0
TDMS00011,High,4.01,40,24.9,1,73.1,0.514,This_Week,67.6,3,3,0,1,0
TDMS00012,Critical,4.75,20,15.6,2,43.5,0.672,Immediate,76.0,4,4,0,1,0
TDMS00013,High,3.89,0,2.9,3,58.7,0.881,This_Month,49.0,3,2,0,1,0
TDMS00014,Medium,4.33,60,21.1,2,18.0,0.73,This_Month,57.2,2,2,0,1,0
TDMS00015,Medium,3.04,60,14.2,4,21.5,0.707,This_Month,47.7,2,2,0,1,0
TDMS00016,High,3.94,40,13.2,1,35.8,0.599,This_Week,64.1,3,3,0,1,0
TDMS00017,Critical,5.56,20,16.8,3,43.5,0.819,Immediate,75.5,4,4,0,1,0
TDMS00018,High,4.33,40,15.2,4,78.5,0.759,This_Week,66.4,3,3,0,1,0
TDMS00019,Critical,5.75,20,5.7,2,68.1,0.661,Immediate,73.2,4,4,0,1,0
TDMS00020,High,4.26,40,10.8,0,39.5,0.56,This_Week,65.3,3,3,0,1,0
TDMS00021,Critical,4.2,20,17.0,0,43.7,0.581,Immediate,78.9,4,4,0,1,0
TDMS00022,Critical,6.21,20,3.2,0,69.4,0.73,Immediate,77.5,4,4,0,1,0
TDMS00023,Critical,4.19,20,29.1,0,50.8,0.635,Immediate,78.6,4,4,0,1,0
TDMS00024,Medium,3.37,60,20.9,1,51.0,0.658,This_Month,50.9,2,2,0,1,0
TDMS00025,Critical,6.15,10,1.4,0,68.8,0.747,Immediate,74.7,4,4,0,1,0
TDMS00026,High,4.37,40,13.7,1,44.3,0.68,This_Month,58.0,3,2,0,1,0
TDMS00027,High,4.17,40,26.9,4,36.6,0.643,This_Week,65.6,3,3,0,1,0
TDMS00028,High,3.6,40,9.6,0,65.7,0.666,This_Week,62.1,3,3,0,1,0
TDMS00029,High,4.23,40,2.0,0,60.1,0.68,This_Week,64.3,3,3,0,1,0
