Defect_ID,Section_ID,Station1,Station2,Chainage_KM,Zone,Division,Corridor_ID,Asset_ID,Asset_Type,Defect_Type,Severity_Level,Detection_Method,Latitude,Longitude,Reported_Date,Date_to_Start_work,Date_to_End_work,Work_Due_Date,Work_Overall_Duration,Work_Duration_Per_Day,Overdue_Days,Asset_Age_Years,Last_Maintenance_Date,Maintenance_Frequency_Days,Historical_Failure_Count,Voltage_V,Current_A,Power_Load_MW,Wind_Speed_kmh,Weather_Condition,Component_Health,Traffic_Trains_Per_Day,Goods_Trains_Forecast,Route_Criticality,Overlapping_Engineering_Request,Overlapping_SNT_Request,Joint_Block_Feasibility_Score,Task_Urgency_Tier,Planning_Horizon,Recommended_Block_Duration_Min,Joint_Block_Recommendation,Failure_Probability_72h,Remaining_Useful_Life_Hours,Priority_Score,Priority_Class,Predicted_Resolution_Time_Hours,Risk_If_Delayed,Confidence_Score
TDMS00001,ZDJ-OZNF,ZDJ,OZNF,0.73,Northern Railway,Lucknow,CORR_012,TRD_VOLTAGE_FLUCTUATION_F0001,TRACTION_POWER_EQUIPMENT,Voltage Fluctuation,Medium,Manual_Inspection,29.351939,85.144319,11-12-2025,16-09-2026,17-09-2026,20-09-2026,3.51,3.38,60,14.6,14-10-2025,90,1,2022.5,215.3,50.5,29.9,Windstorm,Normal,69,25,HIGH,False,False,26.6,This_Month,Monthly,203,No,0.137,701.3,51.9,B,3.51,57.7,0.655
TDMS00002,ZRN-ECYN,ZRN,ECYN,44.41,Southern Railway,Chennai,CORR_006,TRD_TRANSFORMER_FAILURE_F0002,TRACTION_SUBSTATION_TRANSFORMER,Transformer Failure,Medium,Manual_Inspection,8.09709,85.770907,17-01-2026,15-09-2026,16-09-2026,19-09-2026,4.11,4.0,60,5.5,27-06-2026,90,3,2170.9,186.4,50.4,20.2,Snowy,Normal,32,20,MEDIUM,False,True,48.4,This_Month,Monthly,240,No,0.269,577.2,50.5,B,4.11,63.8,0.723
TDMS00003,ELW-UPCN,ELW,UPCN,11.69,Northern Railway,Ferozpur,CORR_006,TRD_TRANSFORMER_FAILURE_F0003,TRACTION_SUBSTATION_TRANSFORMER,Transformer Failure,High,Manual_Inspection,33.163529,74.085077,23-07-2025,16-09-2026,16-09-2026,18-09-2026,4.22,4.9,40,20.5,04-09-2025,90,2,2222.5,246.1,54.0,21.4,Rainy,Overheated,37,8,MEDIUM,False,False,38.1,This_Week,Weekly,294,No,0.454,428.9,62.3,B,4.22,71.2,0.749
TDMS00004,KYVG-URZOT,KYVG,URZOT,3.74,Southern Railway,Chennai,CORR_005,TRD_TRANSFORMER_FAILURE_F0004,TRACTION_SUBSTATION_TRANSFORMER,Transformer Failure,Medium,Thermal_Drone,11.195195,88.375816,23-08-2026,15-09-2026,16-09-2026,19-09-2026,3.89,3.75,0,20.1,29-04-2026,180,3,2141.8,204.9,50.2,25.3,Clear,Normal,42,25,MEDIUM,False,True,48.2,Programmed,Monthly,225,No,0.187,660.8,27.6,C,3.89,37.2,0.926
TDMS00005,RP-TTTBN,RP,TTTBN,41.59,Northern Railway,Moradabad,CORR_012,TRD_OVERHEATING_F0005,TRACTION_POWER_EQUIPMENT,Overheating,Medium,Sensor_Alert,32.651226,80.893322,16-08-2025,12-09-2026,13-09-2026,16-09-2026,3.51,3.38,60,10.9,01-02-2026,90,4,2248.3,232.0,50.8,18.5,Clear,Normal,77,27,MEDIUM,False,True,55.5,This_Month,Monthly,203,Yes,0.252,637.0,48.2,C,3.51,60.6,0.908
TDMS00006,EZBVW-NRB,EZBVW,NRB,100.84,Southern Railway,Chennai,CORR_009,TRD_LINE_BREAKAGE_F0006,OHE_CONTACT_LINE,Line Breakage,Medium,Manual_Inspection,10.922549,81.471801,23-04-2026,08-09-2026,08-09-2026,11-09-2026,2.94,3.4,60,14.9,27-08-2025,180,3,2114.1,224.5,46.8,11.2,Clear,Normal,75,22,HIGH,False,False,36.0,This_Month,Monthly,204,No,0.215,639.7,53.1,B,2.94,59.3,0.738
TDMS00007,UWIU-VHHP,UWIU,VHHP,70.89,Southern Railway,Chennai,CORR_006,TRD_LINE_BREAKAGE_F0007,OHE_CONTACT_LINE,Line Breakage,Medium,Sensor_Alert,12.31629,82.8796,15-03-2026,07-09-2026,08-09-2026,11-09-2026,2.83,2.6,60,1.6,15-11-2025,90,3,2105.4,193.4,50.7,10.8,Clear,Normal,34,25,HIGH,False,True,37.9,This_Month,Monthly,156,No,0.281,534.6,58.5,B,2.83,61.4,0.852
TDMS00008,KZSHB-WY,KZSHB,WY,11.64,Northern Railway,Lucknow,CORR_004,TRD_CIRCUIT_BREAKER_TRIP_F0008,TRACTION_POWER_EQUIPMENT,Circuit Breaker Trip,Medium,Sensor_Alert,25.190978,82.00714,18-07-2025,16-09-2026,16-09-2026,19-09-2026,4.08,4.23,60,24.9,11-09-2025,365,4,1813.4,225.6,47.1,21.3,Thunderstorm,Normal,57,21,MEDIUM,True,False,50.2,This_Month,Monthly,254,No,0.297,559.1,50.6,B,4.08,62.2,0.662
TDMS00009,VCJMD-BPT,VCJMD,BPT,90.35,Western Railway,Ratlam,CORR_008,TRD_LINE_BREAKAGE_F0009,OHE_CONTACT_LINE,Line Breakage,Medium,Sensor_Alert,23.055419,75.694184,06-02-2026,09-09-2026,10-09-2026,13-09-2026,4.75,4.38,60,3.2,28-02-2026,365,0,1866.6,189.1,45.8,28.1,Clear,Normal,64,12,MEDIUM,False,False,34.6,This_Month,Monthly,263,No,0.116,701.7,42.9,C,4.75,56.5,0.681
TDMS00010,NWTXA-IEUL,NWTXA,IEUL,32.02,South Eastern Railway,Chakradharpur,CORR_002,TRD_TRANSFORMER_FAILURE_F0010,TRACTION_SUBSTATION_TRANSFORMER,Transformer Failure,Medium,Sensor_Alert,21.939121,84.2183,03-08-2025,13-09-2026,14-09-2026,17-09-2026,3.75,3.7,60,27.0,29-11-2025,90,6,2188.6,207.7,51.4,13.7,Snowy,Normal,31,27,HIGH,False,False,27.6,This_Month,Monthly,222,No,0.271,557.8,57.3,B,3.75,67.5,0.806
