Defect_ID,Section_ID,Station1,Station2,Chainage_KM,Zone,Division,Latitude,Longitude,Asset_Type,Defect_Type,Severity_Level,Detection_Method,Reported_Date,Date_to_Start_work,Date_to_End_work,Work_Due_Date,Work_Overall_Duration,Work_Duration_Per_Day,Overdue_Days,Asset_Age_Years,Last_Maintenance_Date,Maintenance_Frequency_Days,Historical_Failure_Count,Section_Traffic_Density,Passenger_vs_Goods_Ratio,Available_Block_Window_Hours,Corridor_Criticality,Upcoming_Special_Traffic,Overlapping_SNT_Request,Overlapping_TD_Request,Joint_Block_Feasibility_Score,Task_Urgency_Tier,Planning_Horizon,Recommended_Block_Duration_Hours,Joint_Block_Recommendation,Priority_Score,Predicted_Resolution_Time_Hours,Risk_If_Delayed,Confidence_Score
DEF00001,GPZ-TBH,GPZ,TBH,0.8,South Eastern Railway,Chakradharpur,20.786483,82.969345,Sleeper,Cracked/Broken Sleeper,Low,TRC Survey,20-11-2025,10-09-2026,10-09-2026,15-09-2026,2.4,3.0,221,33.3,30-08-2026,60,2,2,0.69,23.35,Branch,False,True,False,0.63,Immediate,Weekly,3.0,Yes,38.4,2.4,37.4,0.86
DEF00002,DKDE-WAIR,DKDE,WAIR,7.94,Southern Railway,Chennai,13.522049,79.913893,Sleeper,Sleeper Displacement,Critical,TRC Survey,18-06-2026,04-09-2026,04-09-2026,05-09-2026,6.7,8.2,70,4.6,19-07-2026,30,0,9,0.6,9.22,Trunk,False,False,False,0.26,Immediate,Weekly,8.2,No,70.1,6.7,69.5,0.92
DEF00003,SRPJ-BNS,SRPJ,BNS,6.55,Northern Railway,Lucknow,27.895109,79.942371,Ballast,Insufficient Ballast Cushion,Medium,TRC Survey,02-12-2025,13-09-2026,13-09-2026,16-09-2026,8.8,9.5,243,29.4,01-08-2026,30,4,2,0.56,19.67,Branch,False,False,False,0.08,Immediate,Weekly,9.5,No,49.1,8.8,55.4,0.96
DEF00004,GVB-PIA,GVB,PIA,6.88,Central Railway,Pune,14.275172,73.1199,Level Crossing,Missing/Loose Fastener,Low,Manual Patrol,03-03-2026,11-09-2026,11-09-2026,16-09-2026,1.6,2.7,108,17.6,22-08-2026,30,1,5,0.81,12.85,Trunk,False,True,True,0.8,Immediate,Weekly,2.7,Yes,43.0,1.6,51.9,0.82
DEF00005,GKP-LKO,GKP,LKO,79.61,Central Railway,Nagpur,20.310361,79.935929,Rail,Corrugation,Critical,TRC Survey,18-01-2026,11-09-2026,11-09-2026,12-09-2026,11.3,12.2,222,22.2,06-03-2026,180,1,4,0.78,15.33,Trunk,False,True,False,0.79,Immediate,Weekly,12.2,Yes,76.8,11.3,67.3,0.74
DEF00006,SV-DEOS,SV,DEOS,18.49,Southern Railway,Chennai,11.82922,86.184873,Point & Crossing,Worn Point Blade,High,TRC Survey,30-09-2025,14-09-2026,14-09-2026,16-09-2026,5.1,6.4,328,27.6,18-07-2026,60,3,11,0.63,4.33,Trunk,False,False,False,0.01,Immediate,Weekly,6.4,No,71.6,5.1,74.5,0.74
DEF00007,PWL-BVH,PWL,BVH,14.95,South Central Railway,Nanded,18.805974,76.900457,Level Crossing,Missing/Loose Fastener,Low,UFD,26-10-2025,10-09-2026,10-09-2026,15-09-2026,3.0,3.9,222,29.6,06-06-2026,30,3,5,0.67,8.08,Trunk,False,True,False,0.93,Immediate,Weekly,3.9,Yes,46.9,3.0,46.6,0.89
DEF00008,IDP-VPG,IDP,VPG,2.13,Central Railway,Bhusawal,21.81269,75.99611,Bridge,Deck Slab Crack,High,Manual Patrol,01-02-2026,14-09-2026,14-09-2026,16-09-2026,13.6,15.0,201,4.6,09-07-2026,180,0,7,0.86,9.5,Trunk,False,False,False,0.13,Immediate,Weekly,15.0,No,59.6,13.6,53.6,0.87
DEF00009,PPKD-OBR,PPKD,OBR,0.15,South Central Railway,Guntur,16.111613,80.71325,Ballast,Ballast Degradation,Medium,Manual Patrol,02-09-2025,05-09-2026,05-09-2026,08-09-2026,7.0,8.2,338,26.2,24-07-2026,60,4,3,0.65,10.42,Branch,False,False,False,0.08,Immediate,Weekly,8.2,No,50.5,7.0,57.4,0.94
DEF00010,ABS-BFE,ABS,BFE,2.46,South Central Railway,Vijayawada,15.91114,81.767674,Ballast,Insufficient Ballast Cushion,Medium,Manual Patrol,08-12-2025,14-09-2026,14-09-2026,17-09-2026,9.4,10.9,227,14.0,26-05-2026,365,2,4,0.76,14.32,Trunk,False,False,False,0.29,Immediate,Weekly,10.9,No,57.7,9.4,53.3,0.9
